"filename", "language", "HTML", "JSON", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\.eslintrc.cjs", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\README.md", "Markdown", 0, 0, 5, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\index.html", "HTML", 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\package-lock.json", "JSON", 0, 4085, 0, 0, 0, 0, 0, 0, 1, 4086
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 0, 5, 32
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\components\Footer.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 0, 5, 51
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\components\navbar.css", "CSS", 0, 0, 0, 0, 0, 18, 0, 0, 0, 18
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\context\shop-context.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 13, 81
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\index.css", "CSS", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Cart\Cart.jsx", "JavaScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 5, 57
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Cart\cart.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 0, 48
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Cart\cartItem.jsx", "JavaScript JSX", 0, 0, 0, 0, 26, 0, 0, 0, 7, 33
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Landing-Screen\LandingScreen.css", "CSS", 0, 0, 0, 0, 0, 69, 0, 1, 3, 73
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Landing-Screen\LandingScreen.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 6, 53
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Shop\ProductDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 0, 14, 118
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Shop\Shop.jsx", "JavaScript JSX", 0, 0, 0, 0, 85, 0, 0, 2, 8, 95
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\pages\Shop\shop.css", "CSS", 0, 0, 0, 0, 0, 133, 0, 2, 3, 138
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\products.js", "JavaScript", 0, 0, 0, 352, 0, 0, 0, 0, 5, 357
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\src\productsw.js", "JavaScript", 0, 0, 0, 264, 0, 0, 0, 16, 6, 286
"c:\Users\Bakry\Desktop\FCAI\React\E-commerce\Brance\vite.config.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 20, 4117, 5, 641, 485, 324, 2, 22, 107, 5723
